MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold
0.05721478668651875,0.08258478306867434,0.01886934386983665,0.0377386877396733,0.6720430107526881,0.13552241774034002,0.8145161290322581,0.18781999589934273,0.9193548387096774,0.30677803719620184,Bootstrap,swh,1h,1
0.034305913389651804,0.052740498238271795,0.011679552570714237,0.023359105141428475,0.9568452380952381,0.16719754343054216,0.9836309523809523,0.2548920799711709,0.9925595238095238,0.3391762703594532,Bootstrap,swh,1h,2
0.032018870985123085,0.04682055211669551,0.010526482626884773,0.021052965253769547,0.7647849462365591,0.10428467265355644,0.875,0.13661805570375354,0.9193548387096774,0.1668521335378257,Bootstrap,swh,1h,3
0.022214565441423105,0.03156059844468641,0.007340992769788713,0.014681985539577426,0.9125,0.10257849823411799,0.9722222222222222,0.14839173591018495,0.9861111111111112,0.18666711908084158,Bootstrap,swh,1h,4
0.0202526637831292,0.02917798192659217,0.0064418364279405504,0.012883672855881101,0.831989247311828,0.06853321623730757,0.9260752688172043,0.09979253639665409,0.9623655913978495,0.12509098688459325,Bootstrap,swh,1h,5
0.017016187606179307,0.023213519635003555,0.0053634515540961,0.0107269031081922,0.8386648122392212,0.05879179111717557,0.9388038942976356,0.09370576605546255,0.972183588317107,0.12118317712237658,Bootstrap,swh,1h,6
0.14703575395863513,0.20963089188675432,0.04768931524359451,0.09537863048718902,0.7513440860215054,0.4191600203812429,0.8400537634408602,0.5641671459220444,0.9193548387096774,0.7520905269284208,Bootstrap,swh,3h,1
0.10037014027907713,0.15656447312678348,0.03388019116922329,0.06776038233844658,0.9211309523809523,0.44983579300862786,0.9747023809523809,0.6895266382737884,0.9910714285714286,0.8821020795421443,Bootstrap,swh,3h,2
0.09124427163437347,0.1326071764110085,0.029914151562138534,0.05982830312427707,0.7889784946236559,0.30775787789905706,0.885752688172043,0.41591187189883705,0.9475806451612904,0.5292262019271585,Bootstrap,swh,3h,3
0.06632424637964579,0.09390883983503212,0.02157729305299534,0.04315458610599068,0.8888888888888888,0.2902682730896345,0.9541666666666667,0.3961373198310421,0.9916666666666667,0.5474821856970887,Bootstrap,swh,3h,4
