,,MAE_median,MAE_median,RMSE_median,RMSE_median,MeanPinball,MeanPinball,CRPS_approx,CRPS_approx,Cov_80,Cov_80,Width_80,Width_80,Cov_90,Cov_90,Width_90,Width_90,Cov_95,Cov_95,Width_95,Width_95
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
LeadTime,Model,,,,,,,,,,,,,,,,,,,,
12h,Bootstrap,15.644784527060864,0.9368739768685855,21.07492029839337,1.9111929478621024,5.177970678989917,0.3722054977502432,10.355941357979834,0.7444109955004864,0.6882440476190477,0.09727408925835841,49.829564643924265,9.206323484711456,0.8162202380952381,0.09736510596997379,68.92027981245738,21.69865978054958,0.8869047619047619,0.05493201666629808,82.79968271747562,29.51076408944678
12h,Conformal,15.58445577020239,0.8999152846784259,21.005825466263033,1.841468504926685,5.189155683481103,0.3445457327778722,10.378311366962206,0.6890914655557444,0.6733630952380952,0.09518770368251729,47.317793262601256,8.59371519947116,0.7760416666666666,0.10626778340350183,62.64410603567952,17.431090735275994,0.8407738095238095,0.08285363635163723,73.22691743183172,24.124733529516003
1h,Bootstrap,8.098404761019879,1.8220857269486848,11.326083020029731,3.1885266927440847,2.72717968671191,0.553907318211783,5.45435937342382,1.107814636423566,0.7805059523809523,0.04396811518658977,30.835499798647273,9.844755633897101,0.8802083333333333,0.024707161518675122,46.032737877729275,20.36663923881986,0.9345238095238095,0.01262690680690259,61.73582308027146,24.660927276027586
1h,Conformal,8.098728666079207,1.843003997985946,11.33017860520763,3.19915672436742,2.6974385222733983,0.5599824584089359,5.394877044546797,1.1199649168178718,0.7626488095238095,0.052366012930904614,29.181768806756693,8.795586573879802,0.8534226190476191,0.03656194784002058,41.30410522534443,18.224434588637077,0.9114583333333334,0.015818669364188454,50.72175621693699,21.977587797520794
24h,Bootstrap,16.16502053920566,1.811630512356471,21.43190117523872,2.700466011347512,5.1078089269424805,0.5971845788072526,10.215617853884961,1.1943691576145052,0.6822916666666666,0.08715632078966115,47.508265797047116,12.585103688464716,0.8065476190476191,0.06190666968977262,65.03325773545858,19.656457742854986,0.8705357142857143,0.05659980883172982,79.25802640036567,27.42222681886651
24h,Conformal,16.194265578649322,1.8443490881542193,21.48254001010618,2.719264750046283,5.119057767240114,0.5579333904033044,10.238115534480228,1.1158667808066087,0.6696428571428572,0.08951689647405221,45.15757038526034,11.844996211406324,0.7700892857142857,0.07712775272225218,58.51226635087208,17.1438552958492,0.8325892857142857,0.06149393401802205,69.44079824590621,21.601827598025316
6h,Bootstrap,15.36036250925627,1.0370460307657912,20.472770368859017,1.7022006834752683,4.933494368937053,0.42225480431731227,9.866988737874106,0.8445096086346245,0.6919642857142857,0.1055464177331296,46.475556608234726,12.434085919938731,0.8043154761904762,0.10410641681614928,66.69559850460041,22.735739828946656,0.8511904761904762,0.09480307393174832,81.88634784689337,32.08564610679178
6h,Conformal,15.29601232073875,1.0556721701835354,20.40912220497028,1.747085650710584,4.93867855899702,0.3773102561728174,9.87735711799404,0.7546205123456348,0.6666666666666667,0.11508791703308542,44.33659803266866,12.104661553470606,0.7633928571428572,0.10726679339845296,59.719785614015805,18.9500731359349,0.8273809523809523,0.1009275295107927,71.6356982698887,25.794870112309525
