MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,LeadTime,Fold
10.521017235647735,15.564914714373208,3.3686154228690266,6.737230845738053,0.7708333333333334,31.87572257697866,0.8779761904761905,41.31641512320495,0.9255952380952381,65.062360616406,Bootstrap,1h,1
10.539679952386063,15.570414182204638,3.3595295808572567,6.7190591617145135,0.7529761904761905,30.46313547159427,0.8303571428571429,37.73454074828711,0.9077380952380952,47.381339525673646,Conformal,1h,1
6.492858238776297,8.43231922198508,2.01583113038252,4.03166226076504,0.7529761904761905,21.712343271718165,0.8541666666666666,28.043345111854457,0.9345238095238095,36.85760928590638,Bootstrap,1h,2
6.473144102534837,8.41485726765685,1.9950397091871406,3.990079418374281,0.7321428571428571,20.888901328330576,0.8333333333333334,26.09609890131834,0.8988095238095238,30.344524453237348,Conformal,1h,2
8.457778018187836,11.929076518929795,2.7785598308764765,5.557119661752953,0.7529761904761905,25.55557506444884,0.875,39.4863879655721,0.9255952380952381,50.57703955783635,Bootstrap,1h,3
8.483765749787372,11.961440179915833,2.7816238025974505,5.563247605194901,0.7261904761904762,24.40824067729332,0.8422619047619048,33.721352411507965,0.9047619047619048,43.327142906490344,Conformal,1h,3
6.921965551467649,9.378021624830838,2.745712362719618,5.491424725439236,0.8452380952380952,44.198358281443426,0.9136904761904762,75.28480331028561,0.9523809523809523,94.44628286093712,Bootstrap,1h,4
6.898324859608557,9.374002791053199,2.6535609964517453,5.3071219929034905,0.8392857142857143,40.966797749808606,0.9077380952380952,67.6644288402643,0.9345238095238095,81.83401798234662,Conformal,1h,4
15.350923999123966,21.949494690424107,4.898750052850222,9.797500105700443,0.8035714285714286,52.839342597779186,0.9196428571428571,69.13464665145064,0.9375,84.39537244598725,Bootstrap,6h,1
15.436514132094715,22.088785128742895,4.918343748698404,9.836687497396808,0.7886904761904762,50.79446455716906,0.8779761904761905,61.70455263050834,0.9285714285714286,73.92421305269525,Conformal,6h,1
16.605303242067823,21.192649663099626,4.931370720320108,9.862741440640216,0.5505952380952381,31.953018811848217,0.6666666666666666,43.342364857213894,0.7172619047619048,48.16103828227319,Bootstrap,6h,2
16.583997141189677,21.201786145409148,4.995294286563801,9.990588573127601,0.5178571428571429,30.16985224081549,0.6190476190476191,40.02780803266098,0.6875,45.12311047764273,Conformal,6h,2
14.06689177226867,18.03637535459731,4.435689037349821,8.871378074699642,0.6904761904761905,41.09092209581633,0.8125,57.39519215350007,0.8898809523809523,70.49869320234376,Bootstrap,6h,3
14.014143024383284,18.021624527078995,4.46074896899787,8.92149793799574,0.6458333333333334,39.040781991948705,0.7857142857142857,52.31255018319782,0.8482142857142857,61.447863649456636,Conformal,6h,3
15.418331023564619,20.712561767315016,5.46816766522806,10.93633533045612,0.7232142857142857,60.01894292749518,0.8184523809523809,96.91019035623705,0.8601190476190477,124.49028745696928,Bootstrap,6h,4
15.149394985287326,20.32429301865008,5.380327231728003,10.760654463456007,0.7142857142857143,57.3412933407414,0.7708333333333334,84.83423160969609,0.8452380952380952,106.04760589976021,Conformal,6h,4
15.738896722100131,22.49273615537992,5.143431360020444,10.286862720040888,0.8125,56.66644179105897,0.9315476190476191,72.3811746170636,0.9494047619047619,81.41651115425172,Bootstrap,12h,1
15.715990334361281,22.445686413831673,5.147052227212044,10.294104454424089,0.7916666666666666,54.1466065788145,0.9077380952380952,68.76925822642252,0.9315476190476191,75.09486570648282,Conformal,12h,1
16.49045184479043,21.73329122310908,5.255210626700424,10.510421253400848,0.5982142857142857,42.10050478592561,0.7202380952380952,50.75149863838202,0.8422619047619048,57.53093481077126,Bootstrap,12h,2
16.443454330946942,21.703515890033355,5.328500687130402,10.657001374260805,0.5863095238095238,40.04812688648541,0.6636904761904762,47.4245260663547,0.7619047619047619,52.932244973027025,Conformal,12h,2
14.318274825263188,18.253705263236615,4.705211375042386,9.410422750084772,0.625,41.69107895948038,0.7529761904761905,54.339636770327225,0.8392857142857143,67.69088905657497,Bootstrap,12h,3
14.319843786597598,18.304799132623064,4.734199090802521,9.468398181605043,0.6071428571428571,39.72867734273734,0.7232142857142857,49.85607604794469,0.7797619047619048,58.34802702892491,Conformal,12h,3
