MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,LeadTime,Fold,CrossingRate_before_fix,SelectedMinSamplesLeaf
12.264512798339787,19.626508671835143,3.933444243043612,7.866888486087224,0.8422619047619048,42.452007029517375,0.9226190476190477,59.7734323388683,0.9642857142857143,72.31384862184095,QR,1h,1,0.020833333333333332,
10.311517797619048,18.061865660077455,3.16890957948718,6.33781915897436,0.8303571428571429,31.359791702380953,0.9047619047619048,43.950207999999996,0.9642857142857143,57.310059202380955,QRF,1h,1,,20.0
8.178581443924031,10.680881939216622,2.6633248176104893,5.326649635220979,0.8005952380952381,29.611138419339113,0.9047619047619048,46.7630529754943,0.9434523809523809,62.821349191184424,QR,1h,2,0.15773809523809523,
6.257916660714286,8.998249935017611,2.167688909609661,4.335377819219322,0.8988095238095238,30.374226217261903,0.9404761904761905,42.970892741071424,0.9791666666666666,55.26348193154762,QRF,1h,2,,20.0
13.962539686333116,20.33644115006394,4.303096624507824,8.606193249015648,0.7261904761904762,35.871878908941156,0.8720238095238095,49.725595429736394,0.9404761904761905,64.58383894651561,QR,1h,3,0.02976190476190476,
10.958690547619048,16.837261475174724,3.429777792759845,6.85955558551969,0.7916666666666666,32.084434413690474,0.8809523809523809,44.80142854464285,0.9255952380952381,57.446934086309525,QRF,1h,3,,20.0
10.21656420237406,13.534373911349324,3.235998472997636,6.471996945995272,0.8928571428571429,44.7071495339928,0.9404761904761905,60.37437938128534,0.9702380952380952,72.83452396418673,QR,1h,4,0.005952380952380952,
6.683422860119048,9.960372702457132,2.1781812406879584,4.356362481375917,0.9255952380952381,31.891160583333335,0.9761904761904762,43.52723212797619,0.9910714285714286,54.36642808035714,QRF,1h,4,,20.0
18.249530669604635,25.831713053797085,5.7466689259529415,11.493337851905883,0.9107142857142857,74.26798594487242,0.9642857142857143,97.66925847352087,0.9880952380952381,117.00535593071358,QR,6h,1,0.02976190476190476,
15.882678556547619,23.93072423692765,4.820350636269461,9.640701272538921,0.8660714285714286,52.717172839285716,0.9553571428571429,71.80729194642858,0.9791666666666666,91.59261882440477,QRF,6h,1,,20.0
23.018813858939627,28.94463333711206,7.990747029949336,15.981494059898672,0.6458333333333334,55.7536513450531,0.6845238095238095,79.48356067403724,0.7440476190476191,104.69068064086339,QR,6h,2,0.27976190476190477,
22.691994119047617,29.30665518773111,7.240502909088827,14.481005818177653,0.5267857142857143,36.21136891964286,0.6726190476190477,49.896636699404766,0.8244047619047619,66.36383860119047,QRF,6h,2,,20.0
16.15229321078079,20.78394820789523,4.7801906588334395,9.560381317666879,0.8333333333333334,49.27462709421566,0.9136904761904762,65.61903817417904,0.9523809523809523,82.60855773319534,QR,6h,3,0.10714285714285714,
13.715029869047617,19.292409979417776,4.16747611929945,8.3349522385989,0.8363095238095238,49.23976179464286,0.9315476190476191,68.92657741369047,0.9732142857142857,89.55693386309524,QRF,6h,3,,20.0
22.92301972147235,25.90596943140231,6.881129221451051,13.762258442902102,0.5505952380952381,54.83317822542958,0.6726190476190477,68.99383835755239,0.7886904761904762,84.1436643709871,QR,6h,4,0.09821428571428571,
19.025506345238096,25.213453776988832,5.968301669551284,11.936603339102568,0.6785714285714286,53.759255764880955,0.8184523809523809,70.22979168154762,0.8988095238095238,85.52630901785713,QRF,6h,4,,20.0
20.026625090536736,27.361021717362725,5.930505873640387,11.861011747280774,0.9107142857142857,73.10070604002465,0.9613095238095238,89.11447864958362,0.9821428571428571,109.03058625862039,QR,12h,1,0.017857142857142856,
16.09678588095238,24.01742115253841,4.886508931553343,9.773017863106686,0.8452380952380952,51.96413656845239,0.9375,70.38708323809524,0.9672619047619048,90.20440446726191,QRF,12h,1,,20.0
24.11451768953106,30.285425545256327,8.26683639064949,16.53367278129898,0.6636904761904762,59.23979862737873,0.6845238095238095,81.32771327383311,0.7410714285714286,105.32277581101914,QR,12h,2,0.31845238095238093,
22.254017910714285,28.75791659949826,6.875143185920331,13.750286371840662,0.5565476190476191,37.86252966071428,0.7232142857142857,52.20110087202381,0.8601190476190477,68.20011844642858,QRF,12h,2,,20.0
15.669869765656513,20.20622793331989,4.648031280177045,9.29606256035409,0.8333333333333334,48.91822337259683,0.9077380952380952,64.39889299470703,0.9523809523809523,81.94246139244994,QR,12h,3,0.1488095238095238,
13.409107104166667,19.12413269910674,4.067885341866987,8.135770683733973,0.8244047619047619,46.88217248511904,0.9285714285714286,66.46553574404763,0.9821428571428571,85.91574402083333,QRF,12h,3,,20.0
23.740588228559073,26.708776206831974,7.057240456714231,14.114480913428462,0.5446428571428571,56.66859272508076,0.6547619047619048,69.11857069798205,0.7440476190476191,80.78306676492465,QR,12h,4,0.16071428571428573,
19.770238285714285,26.05787092752368,6.139369489194139,12.278738978388278,0.6785714285714286,54.730297797619045,0.8154761904761905,71.21050594345238,0.8988095238095238,86.48300554166667,QRF,12h,4,,20.0
19.28297481069874,26.58873166475528,5.7492222772173145,11.498444554434629,0.9315476190476191,71.34357233548934,0.9702380952380952,89.97478027993239,0.9821428571428571,106.19519357236815,QR,24h,1,0.03273809523809524,
15.434910636904764,23.14259290968623,4.68399685621566,9.36799371243132,0.8601190476190477,50.28217242261905,0.9375,67.57839275892857,0.9702380952380952,86.23002982142857,QRF,24h,1,,20.0
23.999922493772587,30.869575724576617,8.114054613609756,16.228109227219512,0.6190476190476191,54.665242044246725,0.6726190476190477,76.36994481666511,0.8125,103.88239864465078,QR,24h,2,0.23511904761904762,
16.2957738422619,20.779847887584218,4.938202444843177,9.876404889686354,0.6994047619047619,44.21735098511905,0.8601190476190477,59.17738066369047,0.9255952380952381,74.85776776488095,QRF,24h,2,,20.0
17.273853985864488,21.351171317656178,5.034749684386258,10.069499368772515,0.7946428571428571,47.78356266115732,0.8988095238095238,66.78920668560366,0.9285714285714286,85.53203418797996,QR,24h,3,0.12202380952380952,
13.484970410714286,19.164651030808976,4.132888398798078,8.265776797596155,0.8214285714285714,46.22151765773809,0.9345238095238095,64.90133921130953,0.9702380952380952,84.44392841666667,QRF,24h,3,,20.0
21.9634255363201,25.01344874512907,6.64718142239544,13.29436284479088,0.5386904761904762,53.2238875672013,0.7380952380952381,65.57187206647549,0.8333333333333334,80.49532523591543,QR,24h,4,0.10714285714285714,
19.560833550595238,25.744596454235513,5.789480943269231,11.578961886538462,0.7410714285714286,55.00104148809524,0.8601190476190477,71.07616064583333,0.9404761904761905,85.52380939880952,QRF,24h,4,,20.0
