datetime,actual_price,forecast_q10,forecast_q30,forecast_q50,forecast_q70,forecast_q90,pc_stochastic,pd_stochastic,pc_naive,pd_naive,pc_perfect_foresight,pd_perfect_foresight
2025-07-10 00:00:00,89.099998,41.5912715257042,63.950732371122015,73.47306583639798,83.62319362300714,93.4263086258914,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-10 01:00:00,86.449997,41.264512104073425,63.252396145770966,72.66001698437792,82.78109868990428,93.40277406115379,0.0,0.0,0.0,0.0,0.8421052631578948,0.0
2025-07-10 02:00:00,87.970001,40.18771409587779,63.08263024910783,72.84240922484591,83.01589039950132,93.7421134755272,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-10 03:00:00,98.620003,40.27996117448495,62.09692941806655,71.86104531190772,81.26730288013206,92.11256595751675,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-10 04:00:00,107.610001,41.92798632373845,62.84011314859565,73.50879679444377,84.34269979431072,96.81826629099311,0.0,0.7600000000000001,0.0,0.7600000000000001,0.0,1.0
2025-07-10 05:00:00,107.230003,40.295365369615844,59.62294828975592,71.394918031989,82.57684064834689,94.83275763149007,0.0,-0.0,0.0,0.0,0.0,0.5200000000000001
2025-07-10 06:00:00,105.349998,33.48243142992722,52.95547324907654,65.27321964655427,77.19432549520828,90.69766982212775,0.0,0.0,-0.0,0.0,0.0,0.0
2025-07-10 07:00:00,88.900002,22.08567532756552,43.197176090678276,56.61210933438599,70.09163711880649,84.56920322404979,0.0,-0.0,0.0,-0.0,0.0,-0.0
2025-07-10 08:00:00,82.0,15.191272229491625,35.88862168837512,47.41780007293892,61.60900766858114,76.00949019773385,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-07-10 09:00:00,65.330002,15.620247623986662,36.37352230348233,46.69626162159818,61.13156583785395,73.54190290037361,0.0,-0.0,0.0,-0.0,0.0,-0.0
2025-07-10 10:00:00,45.220001,13.822352398819394,33.51515924741876,43.493550025978,56.45557349992061,68.31305868449866,0.0,0.0,0.0,0.0,-0.0,0.0
2025-07-10 11:00:00,39.509998,9.467492098447735,26.773333760363176,37.560795236232366,50.57513221264457,61.25018655646314,0.6842105263157896,0.0,0.6842105263157896,0.0,1.0,0.0
2025-07-10 12:00:00,39.549999,10.231779836501875,26.463952414551034,38.99138666678749,50.514281843936764,62.24556973288465,0.0,0.0,0.0,0.0,0.6842105263157894,0.0
2025-07-10 13:00:00,56.709999,8.604624386618259,24.315932482625055,37.34352055828107,50.35133435422804,62.070518588371755,1.0,0.0,1.0,0.0,0.0,-0.0
2025-07-10 14:00:00,76.800003,12.017317125315085,30.34441020788986,43.92103715949903,57.40772087228867,71.07180767108848,0.0,-0.0,0.0,-0.0,0.0,-0.0
2025-07-10 15:00:00,86.400002,17.29636685844919,36.87772210054414,49.033424834422036,63.902851118595585,78.50179519571408,0.0,-0.0,0.0,-0.0,0.0,-0.0
2025-07-10 16:00:00,100.199997,27.476866860004723,50.55281833300319,63.461326524588145,77.76456365164061,92.70466273570413,0.0,-0.0,0.0,-0.0,0.0,-0.0
2025-07-10 17:00:00,114.389999,42.11405007045401,66.89666337045095,82.61415148713641,96.42415322730952,114.59545591548458,0.0,0.0,0.0,0.0,-0.0,0.0
2025-07-10 18:00:00,134.669998,47.36912144762046,73.25607533841877,89.77363663211386,103.15556111420824,123.06867879463485,0.0,0.0,0.0,0.5200000000000001,0.0,1.0
2025-07-10 19:00:00,132.699997,48.18652437404304,74.757332297553,90.69443990387875,104.57977601921296,124.43318079996308,0.0,1.0,0.0,1.0,0.0,0.5200000000000001
2025-07-10 20:00:00,120.879997,47.95664501223912,73.84755038324278,89.29614287732522,103.71608146485787,123.11071723172344,0.0,0.5200000000000001,0.0,0.0,0.0,0.0
2025-07-10 21:00:00,107.690002,50.2357230297627,71.52734300658767,85.55432871538565,97.12036955031907,114.35528623762696,0.0,-0.0,0.0,-0.0,0.0,-0.0
2025-07-10 22:00:00,104.75,49.33533413436082,70.1189633035974,82.84555367756467,92.67862935580179,106.50780081676598,0.0,0.0,0.0,0.0,0.0,-0.0
2025-07-10 23:00:00,99.57,50.216530550116616,70.97450057996275,83.30030161471916,93.70301470972143,107.48475800993661,0.0,-0.0,0.0,-0.0,0.0,-0.0
