,,,MAE_median,MAE_median,RMSE_median,RMSE_median,MeanPinball,MeanPinball,CRPS_approx,CRPS_approx,Cov_80,Cov_80,Width_80,Width_80,Cov_90,Cov_90,Width_90,Width_90,Cov_95,Cov_95,Width_95,Width_95
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Target,LeadTime,Model,,,,,,,,,,,,,,,,,,,,
mwp,12h,QR,0.7162890884187262,0.16069230441840793,0.9584279360104846,0.21633064291691254,0.2217189058760546,0.049220818373706975,0.4434378117521092,0.09844163674741395,0.7857176667216307,0.04289209680730773,2.173649730840935,0.2608336815972775,0.883960031069107,0.043866682891746875,2.933045229363591,0.3429771301882483,0.9378337885941085,0.03410125932758234,3.6067390326037896,0.4475457964965173
mwp,12h,QRF,0.7437038764605228,0.1483896351264587,0.9848146893951316,0.20058878137287847,0.22969826201723498,0.045711388056268044,0.45939652403446996,0.09142277611253609,0.7930184819964071,0.037406203769561504,2.2668087294536003,0.30159254618869513,0.8917858697758917,0.0303277696428971,3.0245540670083115,0.4441931220404582,0.9392277851545211,0.02147865325208119,3.738719222889022,0.5706177555910114
mwp,1h,QR,0.08540184465839996,0.01568352581313178,0.1233077812418457,0.025187243970936184,0.02711922337344974,0.005099385818647752,0.05423844674689948,0.010198771637295503,0.7848342523870531,0.03765953647215917,0.2523368930461674,0.028768375275558256,0.8771230517770291,0.02450901303888888,0.3506721931107856,0.04485332969914893,0.9311067496636891,0.01611108239321124,0.4426735543400713,0.06140979574125001
mwp,1h,QRF,0.08833114309209161,0.016283862417761242,0.12464168691035556,0.026030216896035664,0.027849911720451176,0.0054257490329603945,0.05569982344090235,0.010851498065920789,0.8294070610968801,0.040327638345128834,0.28429449879599894,0.025936968829682428,0.9200084683027502,0.025365252899339885,0.3933802084631515,0.03752370641385984,0.9569752402957684,0.017253533089172678,0.5074770616752017,0.05254926408221635
mwp,24h,QR,1.0134054834563948,0.18332923446342084,1.3022931059261273,0.24007691439847906,0.3059092267766104,0.05443989379609612,0.6118184535532208,0.10887978759219225,0.7708946154163062,0.04520694031943116,3.0299131734781404,0.304044109634793,0.8736135940286385,0.052588107287499665,3.9139008635066848,0.4310164718731996,0.9278006206190299,0.036992913034174936,4.715641198193027,0.5116531971826723
mwp,24h,QRF,1.058424404541201,0.16448013523503596,1.3712116713585463,0.2233820649250271,0.32309649726689493,0.052814728466206017,0.6461929945337899,0.10562945693241203,0.7392955907798789,0.06866584831818985,3.0166872792962196,0.5638943319283298,0.857440200310751,0.05848795991116744,3.9247576150160968,0.723742822648519,0.9111796580268493,0.04256452643999378,4.7138835338795015,0.8775554657829573
mwp,3h,QR,0.2435498674276866,0.04639202447651646,0.34178232245426465,0.0733690796706773,0.0769008058903256,0.015716061999087275,0.1538016117806512,0.03143212399817455,0.7792816687269379,0.03359606771178165,0.7180347640679359,0.07895388809591915,0.8869629792987365,0.032354287818976105,1.0072230268393814,0.12702884889245886,0.9338010385802766,0.02502823067884312,1.2644604206792307,0.17177485143382287
mwp,3h,QRF,0.24298672405968433,0.050218329043691695,0.3366017420555664,0.077816060578639,0.07599952834904404,0.01618609170866134,0.15199905669808808,0.03237218341732268,0.8290706270473276,0.03886599664195131,0.7889408122342982,0.08671447535847042,0.9170469978418926,0.025173698727011803,1.0844733137286198,0.11912020338537457,0.9571195005573802,0.017639888397723714,1.3829003384138483,0.15712980309456814
mwp,48h,QR,1.1511520866588825,0.1925614452897781,1.4374640008480528,0.2262363899580293,0.34476250590702096,0.05646212069452747,0.6895250118140419,0.11292424138905494,0.7595035415599932,0.09095855971290148,3.5582187005701784,0.3991698983713263,0.8609959037378392,0.07891472681000544,4.509036430584305,0.5884515780111359,0.9309246458440007,0.0575417310140044,5.320218466139252,0.757408316844853
mwp,48h,QRF,1.236821129885646,0.2857395256179989,1.5154862165040528,0.3305189950573928,0.37198096570488204,0.07740163006328968,0.7439619314097641,0.15480326012657936,0.7183046381635091,0.10059958761681724,3.400810505205667,0.5039105162736857,0.829054126130739,0.08492272463775125,4.314765472990271,0.7298385711911842,0.8932353003925585,0.06937171098699706,5.07726619837003,0.9332456458783525
mwp,6h,QR,0.4431248559398042,0.0952891288590192,0.6020133364322602,0.13412168728887353,0.13831979147566237,0.03063219604294405,0.27663958295132474,0.0612643920858881,0.7851262637671557,0.041462234749224454,1.3198890690976313,0.17694061750799123,0.8931627310422376,0.035582661317432485,1.8374918610694149,0.25659756020700664,0.9429824842123229,0.028670251130434993,2.3395849771231982,0.3288826874859043
mwp,6h,QRF,0.4426580446246599,0.10031144790932894,0.5983122547686245,0.1381885849823984,0.1376628988188879,0.030959565176713003,0.2753257976377758,0.061919130353426007,0.8160054792526329,0.05623498004373661,1.4012285969047118,0.15724147196818852,0.9081852454243347,0.02780133349115062,1.931251173722177,0.21819678378030152,0.9504387731795227,0.017780627987661352,2.445688214084917,0.2915452769957783
swh,12h,QR,0.29225382125466576,0.13462560142316987,0.39202291756179,0.17472184322563333,0.08828265528989265,0.03848547695165831,0.1765653105797853,0.07697095390331662,0.796357018826606,0.028198817311061976,0.9085189484858597,0.367956604410834,0.8940351617531771,0.017500954340356048,1.2029114798595444,0.4831779063337862,0.9497206962488537,0.013753497337433808,1.4801881232085927,0.6015128595711678
