MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold,CrossingRate_before_fix,SelectedMinSamplesLeaf
0.056369732415791365,0.07962778414430488,0.01715313425538228,0.03430626851076456,0.7795698924731183,0.1817687068288721,0.9099462365591398,0.24333120443229642,0.9650537634408602,0.30050243845935043,QR,swh,1h,1,0.0,
0.05967741935483871,0.08627288538520182,0.01890061517783292,0.03780123035566584,0.8615591397849462,0.23838709677419354,0.9408602150537635,0.3147311827956989,0.9744623655913979,0.38547043010752685,QRF,swh,1h,1,,20.0
0.03608565193383909,0.05257043172299369,0.010905883889049882,0.021811767778099764,0.8020833333333334,0.11280764325883885,0.9226190476190477,0.15350096350801112,0.9702380952380952,0.1930675321287468,QR,swh,1h,2,0.0,
0.0378125,0.05744692167143345,0.011505637591575095,0.02301127518315019,0.8720238095238095,0.1255357142857143,0.9553571428571429,0.1671875,0.9821428571428571,0.20605654761904763,QRF,swh,1h,2,,20.0
0.03339441486689384,0.04793566892341111,0.01014209557551953,0.02028419115103906,0.7916666666666666,0.1087827885013821,0.918010752688172,0.14746056725861476,0.9731182795698925,0.18523593118180737,QR,swh,1h,3,0.0013440860215053765,
0.034502688172043015,0.05002015722718451,0.010616573614557487,0.021233147229114974,0.9018817204301075,0.12463709677419353,0.9583333333333334,0.16661290322580646,0.9852150537634409,0.20604838709677417,QRF,swh,1h,3,,20.0
0.023144581323429538,0.0322489932451623,0.007024261450874609,0.014048522901749218,0.7972222222222223,0.07364360282266538,0.9041666666666667,0.09819828714456151,0.9597222222222223,0.12260652674346824,QR,swh,1h,4,0.0,
0.023083333333333334,0.033507876354340604,0.007347943376068376,0.014695886752136752,0.8888888888888888,0.08675,0.9486111111111111,0.11593055555555555,0.9763888888888889,0.1447361111111111,QRF,swh,1h,4,,20.0
0.022133431656401283,0.03411478145378875,0.006752907987837508,0.013505815975675016,0.7862903225806451,0.07084361157555051,0.9126344086021505,0.09455032403435538,0.9650537634408602,0.11719992408408571,QR,swh,1h,5,0.0,
0.021733870967741934,0.031071803765589656,0.0067470533498759306,0.013494106699751861,0.9059139784946236,0.08571236559139785,0.9663978494623656,0.11489247311827956,0.9852150537634409,0.14233870967741935,QRF,swh,1h,5,,20.0
0.01649708709114087,0.025225048358040597,0.00502518033140277,0.01005036066280554,0.8011126564673157,0.054292493676097744,0.9123783031988874,0.07159610872903446,0.9513212795549374,0.08768598435708554,QR,swh,1h,6,0.006954102920723227,
0.016634214186369956,0.025507368920821002,0.005143602225312934,0.010287204450625868,0.9179415855354659,0.062253129346314336,0.9652294853963839,0.08300417246175243,0.9819193324061196,0.10349095966620306,QRF,swh,1h,6,,20.0
0.15538809707176446,0.21795483467606697,0.04739864349364754,0.09479728698729507,0.8185483870967742,0.524257910964762,0.9193548387096774,0.6970994574826909,0.967741935483871,0.8602728219745092,QR,swh,3h,1,0.0,
0.16489247311827954,0.22867018555867938,0.050957066790736145,0.10191413358147229,0.8494623655913979,0.627002688172043,0.928763440860215,0.8213306451612903,0.9717741935483871,1.018508064516129,QRF,swh,3h,1,,20.0
0.10669811396995144,0.1614646075576087,0.032829017518016895,0.06565803503603379,0.8080357142857143,0.3175299703400111,0.9122023809523809,0.42485313536499936,0.9627976190476191,0.5372364149899904,QR,swh,3h,2,0.0,
0.11002976190476191,0.16333758497867742,0.03372647664835165,0.0674529532967033,0.8482142857142857,0.35848214285714286,0.9345238095238095,0.476889880952381,0.9806547619047619,0.5889880952380951,QRF,swh,3h,2,,20.0
0.09454562103503693,0.133722543236693,0.028948472242884698,0.057896944485769396,0.8051075268817204,0.3243411816233589,0.9260752688172043,0.4310556511081083,0.978494623655914,0.5385384557900535,QR,swh,3h,3,0.0,
0.09560483870967741,0.13763702849489026,0.02951793837882548,0.05903587675765096,0.875,0.34635752688172045,0.9556451612903226,0.4620564516129032,0.9771505376344086,0.5709677419354839,QRF,swh,3h,3,,20.0
0.0691207002860197,0.0948866146141729,0.021092632208423803,0.042185264416847605,0.7569444444444444,0.22182944101645152,0.8861111111111111,0.2937391114514204,0.95,0.36772598569222853,QR,swh,3h,4,0.001388888888888889,
