NominalCoverage,EmpiricalCoverage,IntervalArea
0.1,0.10714285714285714,651.2757568359375
0.2,0.25297619047619047,1504.010986328125
0.3,0.37202380952380953,2628.3291015625
0.4,0.47023809523809523,3619.4267578125
0.5,0.5773809523809523,6154.12109375
0.6,0.6666666666666666,8831.642578125
0.7,0.8125,11161.3017578125
0.8,0.8511904761904762,14957.646484375
0.9,0.9285714285714286,22493.4140625
0.95,0.9642857142857143,30945.962890625
