datetime,outdoor_temperature,electricity_price_eur_mwh,storage_soc,compressor_action
2024-02-14 15:00:00,-1.6776123,69.99,0.3528031851951603,0.0
2024-02-14 16:00:00,-1.5727844,76.1,0.34903199385804323,0.0
2024-02-14 17:00:00,-1.492096,80.56,0.34527637882172846,0.0
2024-02-14 18:00:00,-1.4323425,84.89,0.3415328764819353,0.0
2024-02-14 19:00:00,-1.4497375,81.85,0.3380691513026587,0.020944900810718536
2024-02-14 20:00:00,-1.5432434,74.15,0.33431167465087713,0.0
2024-02-14 21:00:00,-1.6613464,53.94,0.33053696549008665,0.0
2024-02-14 22:00:00,-1.1065979,48.77,0.3268560546572926,0.0
2024-02-14 23:00:00,-1.1506042,45.47,0.32317009133149827,0.0
2024-02-15 00:00:00,-1.0339661,59.92,0.3195055848701994,0.0
2024-02-15 01:00:00,-0.81729126,59.36,0.3186100679379843,0.2016170620918274
2024-02-15 02:00:00,-0.5832825,52.99,0.32290606113036785,0.5794837474822998
2024-02-15 03:00:00,-0.3312378,52.97,0.32926248052831164,0.7247149348258972
2024-02-15 04:00:00,-0.12680054,48.59,0.3365697691561273,0.7891479730606079
2024-02-15 05:00:00,-0.0128479,49.42,0.340754487082234,0.5593146085739136
2024-02-15 06:00:00,0.060760498,60.01,0.33981103961776304,0.18532106280326843
2024-02-15 07:00:00,0.20046997,79.04,0.3363402305390423,0.0
2024-02-15 08:00:00,0.2926941,80.1,0.33288672092721877,0.0
2024-02-15 09:00:00,0.47177124,76.17,0.3294648311492624,0.0
2024-02-15 10:00:00,0.75735474,72.03,0.32609211578267294,0.0
2024-02-15 11:00:00,0.9397278,67.79,0.3227515156002033,0.0
2024-02-15 12:00:00,1.0249329,64.84,0.3194269786193432,0.0
2024-02-15 13:00:00,1.0138855,64.41,0.31610261353967156,0.0
2024-02-15 14:00:00,1.0119324,67.75,0.3127799208175478,0.0
2024-02-15 15:00:00,0.9639282,72.88,0.3094513010180574,0.0
2024-02-15 16:00:00,0.865448,76.45,0.3061084291574465,0.0
