timestamp;alarm status;wind speed [m/s];reference power [kW];temperature [C];power [kW];P10 limit [kW]
2003-01-01 00:00:00;0.0;10.03141239665676;1280.4513325290077;-15.7;1387.0;1148.76807406389
2003-01-01 00:10:00;0.0;9.616500970986122;1170.4173430833127;-15.6;990.0;1041.2705567226167
2003-01-01 00:20:00;0.0;10.129585622379334;1308.0927510816412;-15.3;1207.0;1177.0153319272663
2003-01-01 00:30:00;1.0;10.128276467518567;1307.7241485712284;-15.2;1097.0;1176.638650457721
2003-01-01 00:40:00;1.0;10.43428223491817;1393.8824003140687;-14.9;1217.0;1264.6853022387609
2003-01-01 00:50:00;1.0;10.226343001135959;1335.3355271499902;-14.8;1153.0;1204.8552099368392
2003-01-01 01:00:00;1.0;9.913896219371276;1248.599403295298;-14.6;989.0;1117.1188240924535
2003-01-01 01:10:00;1.0;8.570284665606026;879.174447952792;-14.5;722.0;748.7322469108602
2003-01-01 01:20:00;1.0;10.012005475683978;1274.9871662914384;-14.2;1115.0;1143.184145278648
2003-01-01 01:30:00;0.0;10.009429211697439;1274.2617995671624;-14.0;1182.0;1142.4428801056208
2003-01-01 01:40:00;0.0;10.419509436402027;1389.723006508141;-13.8;1346.0;1260.4347436370865
2003-01-01 01:50:00;0.0;10.51996940246698;1418.2283686552726;-13.6;1375.0;1289.397773160124
2003-01-01 02:00:00;0.0;10.827989835148577;1508.1307837864251;-13.5;1389.0;1378.8585623923866
2003-01-01 02:10:00;0.0;10.619016614406695;1447.137436433228;-13.3;1300.0;1318.164831482328
2003-01-01 02:20:00;0.0;10.514570738665611;1416.652652038038;-13.2;1324.0;1287.8297969052196
2003-01-01 02:30:00;0.0;10.410151991371633;1387.0883466732964;-13.1;1411.0;1257.7423378332592
2003-01-01 02:40:00;0.0;10.0983513963538;1299.2985171305324;-12.9;1233.0;1168.0283476429825
2003-01-01 02:50:00;0.0;10.715245554335443;1475.2239306628103;-12.8;1541.0;1346.1133569683263
2003-01-01 03:00:00;0.0;11.124522505462538;1586.1414787150661;-12.6;1729.0;1455.7251643993357
2003-01-01 03:10:00;1.0;10.609498315394827;1444.359315314257;-12.6;1296.0;1315.400357274117
2003-01-01 03:20:00;1.0;10.91711633228785;1534.1442767071474;-12.5;1331.0;1404.7442697338493
2003-01-01 03:30:00;1.0;10.812742053575722;1503.6803894510308;-12.4;1335.0;1374.4300296432011
2003-01-01 03:40:00;1.0;11.120256149337337;1585.160875976809;-12.3;1348.0;1454.77295920644
2003-01-01 03:50:00;1.0;11.427692025439876;1655.8236273031168;-12.2;1290.0;1523.389368412891
2003-01-01 04:00:00;1.0;11.220354577616911;1608.168048839467;-12.1;1162.0;1477.113860999772
2003-01-01 04:10:00;1.0;11.013070438489235;1560.524723139309;-12.0;963.0;1430.850251518985
2003-01-01 04:20:00;1.0;10.80721865459224;1502.0682661771789;-12.0;1150.0;1372.8258255713963
2003-01-01 04:30:00;1.0;10.60001405158138;1441.591128102952;-11.9;1003.0;1312.6457681754289
2003-01-01 04:40:00;1.0;10.60001405158138;1441.591128102952;-11.9;938.0;1312.6457681754289
2003-01-01 04:50:00;1.0;10.392862662089941;1382.2204044858813;-11.8;866.0;1252.7677010225584
2003-01-01 05:00:00;1.0;10.597310483511157;1440.8020333767724;-11.7;945.0;1311.8605497040444
2003-01-01 05:10:00;1.0;10.494423973962503;1410.8157644688276;-11.7;823.0;1281.989808621569
2003-01-01 05:20:00;1.0;10.493086337854207;1410.4391428465024;-11.6;721.0;1281.6049322787544
2003-01-01 05:30:00;1.0;10.800330247694037;1500.0577358653966;-11.5;809.0;1370.825171548865
2003-01-01 05:40:00;1.0;10.183168519254378;1323.1794233274034;-11.5;561.0;1192.4326709619766
2003-01-01 05:50:00;1.0;9.873329986084432;1237.9349703205721;-11.4;647.0;1106.772732400555
2003-01-01 06:00:00;1.0;9.873329986084432;1237.9349703205721;-11.4;543.0;1106.772732400555
2003-01-01 06:10:00;1.0;8.536316550468833;869.7518340969465;-11.4;407.0;737.4518411032948
2003-01-01 06:20:00;1.0;8.947705299889016;983.869362101352;-11.4;413.0;874.0691370404837
2003-01-01 06:30:00;1.0;8.743124486228506;927.1194953026809;-11.5;392.0;806.1302894120038
2003-01-01 06:40:00;1.0;8.434543622008675;840.6947467337186;-11.5;260.0;706.2423928184407
2003-01-01 06:50:00;1.0;7.715504660186918;640.681062158269;-11.6;142.0;520.4882447893409
2003-01-01 07:00:00;1.0;7.612631264717759;616.0792939684313;-11.6;188.0;494.91053868784024
2003-01-01 07:10:00;1.0;6.996282649308335;459.72025327063795;-11.7;69.0;348.4746613618898
2003-01-01 07:20:00;1.0;6.481850101565075;364.9558944321905;-11.7;66.0;268.8004302827793
2003-01-01 07:30:00;0.0;6.173977819063332;313.3153100791454;-11.8;40.0;226.93898538057348
2003-01-01 07:40:00;2.0;6.689329255852328;402.60922912161976;-11.9;15.0;300.3299259238179
2003-01-01 07:50:00;2.0;6.998960652497832;460.4122455249212;-12.0;3.0;349.1013295473687
2003-01-01 08:00:00;2.0;6.48515906779693;365.55640590734123;-12.1;0.0;269.30327615537806
2003-01-01 08:10:00;2.0;6.279281002152583;330.9530159095993;-12.1;0.0;241.22775972423233
2003-01-01 08:20:00;2.0;7.304942177954291;539.4774409660833;-11.7;0.0;420.70277053888503
2003-01-01 08:30:00;2.0;8.025147744794856;718.1820924011247;-11.7;0.0;598.3338959559575
2003-01-01 08:40:00;2.0;8.333807273440812;810.5491636008022;-11.7;0.0;679.6903229066669
2003-01-01 08:50:00;2.0;8.436693782989463;841.3381873340281;-11.7;0.0;706.8091318902366
2003-01-01 09:00:00;2.0;8.849368207324108;956.5910616362466;-11.8;0.0;841.4125617319038
2003-01-01 09:10:00;2.0;9.25978585937868;1072.2329199414455;-11.7;0.0;952.8324998059857
2003-01-01 09:20:00;2.0;9.670099174100937;1184.5077428658597;-11.6;0.0;1054.9403475564309
2003-01-01 09:30:00;2.0;9.772972569570095;1211.5520686997577;-11.6;0.0;1081.1773800818544
2003-01-01 09:40:00;2.0;9.978719360508412;1265.6407203675537;-11.6;0.0;1133.6514451327014
2003-01-01 09:50:00;2.0;8.847112010347665;955.9652019791569;-11.6;0.0;840.663305631785
2003-01-01 10:00:00;2.0;9.156899349830027;1043.0315572100567;-11.7;0.0;927.8327719999766
2003-01-01 10:10:00;2.0;8.951126330732723;984.81834182834;-11.7;0.0;875.2052205717999
2003-01-01 10:20:00;2.0;8.642466802086767;899.197472386174;-11.7;0.0;772.7030733247245
2003-01-01 10:30:00;2.0;8.436693782989463;841.3381873340281;-11.7;0.0;706.8091318902366
2003-01-01 10:40:00;2.0;8.642466802086767;899.197472386174;-11.7;0.0;772.7030733247245
2003-01-01 10:50:00;2.0;8.128034254343508;748.9711161343505;-11.7;0.0;625.4527049395273
2003-01-01 11:00:00;2.0;7.7164882161489;640.9162757007798;-11.7;0.0;520.7327891170091
2003-01-01 11:10:00;2.0;7.819374725697551;665.5211800711842;-11.7;0.0;546.3137558095452
2003-01-01 11:20:00;2.0;8.949985405816824;984.501854002106;-11.6;0.0;874.826333018124
2003-01-01 11:30:00;2.0;9.464352383162618;1130.2932165723591;-11.6;0.0;1002.53879692166
2003-01-01 11:40:00;2.0;9.156899349830027;1043.0315572100567;-11.7;0.0;927.8327719999766
2003-01-01 11:50:00;2.0;8.74535331163542;927.7377622002293;-11.7;0.0;806.8704557404163
2003-01-01 12:00:00;2.0;9.464352383162618;1130.2932165723591;-11.6;0.0;1002.53879692166
2003-01-01 12:10:00;2.0;8.948845062375058;984.1855274743784;-11.5;0.0;874.4476385650714
2003-01-01 12:20:00;2.0;9.77172736696127;1211.2247181255038;-11.5;0.0;1080.8598011665335
2003-01-01 12:30:00;2.0;8.948845062375058;984.1855274743784;-11.5;0.0;874.4476385650714
2003-01-01 12:40:00;2.0;9.25742592659489;1071.5631212132794;-11.5;0.0;952.2590749955413
2003-01-01 12:50:00;2.0;8.537403910081954;870.0534631309835;-11.5;0.0;737.8129402589361
2003-01-01 13:00:00;2.0;8.948845062375058;984.1855274743784;-11.5;0.0;874.4476385650714
2003-01-01 13:10:00;2.0;9.25742592659489;1071.5631212132794;-11.5;0.0;952.2590749955413
2003-01-01 13:20:00;2.0;8.948845062375058;984.1855274743784;-11.5;0.0;874.4476385650714
2003-01-01 13:30:00;2.0;9.154565638521612;1042.369200689981;-11.5;0.0;927.2657185763147
2003-01-01 13:40:00;2.0;9.463146502741441;1129.9509622598753;-11.5;0.0;1002.2457878339939
2003-01-01 13:50:00;2.0;9.360286214668164;1100.757041736577;-11.5;0.0;977.2524314147673
2003-01-01 14:00:00;2.0;9.463146502741441;1129.9509622598753;-11.5;0.0;1002.2457878339939
2003-01-01 14:10:00;2.0;9.359094049309201;1100.4186800481923;-11.4;0.0;976.962754861402
2003-01-01 14:20:00;2.0;9.564788424019294;1156.8226623255368;-11.4;0.0;1028.0816873307447
2003-01-01 14:30:00;2.0;8.330622175758739;809.5960158212131;-11.4;0.0;678.8507953921943
2003-01-01 14:40:00;2.0;8.43239565129836;840.0519615768669;-11.3;0.0;705.6762310577701
2003-01-01 14:50:00;2.0;8.535229744606879;869.4503586711803;-11.3;0.0;737.0909258418101
2003-01-01 15:00:00;2.0;9.253890533496982;1070.5597020409998;-11.2;0.0;951.4000326825825
2003-01-01 15:10:00;2.0;9.356711539424724;1099.742473462383;-11.2;0.0;976.38384418722
2003-01-01 15:20:00;2.0;9.97363757499119;1264.304772791225;-11.2;0.0;1132.355376588502
